id,name,descr,aliases
WMPID45,Ami Bera,Ami Bera is a Democratic candidate for the 6th District of California.,Ami Bera|Bera|Ami Bera's|Bera's|AMI BERA|BERA|AMI BERA'S|BERA'S
WMPID46,Tamika Hamilton,Tamika Hamilton is a Republican candidate for the 6th District of California.,Tamika Hamilton|Hamilton|Tamika Hamilton's|Hamilton's|TAMIKA HAMILTON|HAMILTON|TAMIKA HAMILTON'S|HAMILTON'S
WMPID52,Jay Obernolte,Jay Obernolte is a Republican candidate for the 23rd District of California.,Jay Obernolte|Obernolte|Jay Obernolte's|Obernolte's|JAY OBERNOLTE|OBERNOLTE|JAY OBERNOLTE'S|OBERNOLTE'S
WMPID54,Mark Desaulnier,Mark Desaulnier is a Democratic candidate for the 10th District of California.,Mark Desaulnier|Desaulnier|Mark Desaulnier's|Desaulnier's|MARK DESAULNIER|DESAULNIER|MARK DESAULNIER'S|DESAULNIER'S
WMPID55,John Garamendi,John Garamendi is a Democratic candidate for the 8th District of California.,John Garamendi|Garamendi|John Garamendi's|Garamendi's|JOHN GARAMENDI|GARAMENDI|JOHN GARAMENDI'S|GARAMENDI'S
WMPID58,Alison Hayden,Alison Hayden is a Republican candidate for the 14th District of California.,Alison Hayden|Hayden|Alison Hayden's|Hayden's|ALISON HAYDEN|HAYDEN|ALISON HAYDEN'S|HAYDEN'S
WMPID61,Ritesh Tandon,Ritesh Tandon is a Republican candidate for the 17th District of California.,Ritesh Tandon|Tandon|Ritesh Tandon's|Tandon's|RITESH TANDON|TANDON|RITESH TANDON'S|TANDON'S
WMPID62,Rishi Kumar,Rishi Kumar is a Democratic candidate for the 18th District of California.,Rishi Kumar|Kumar|Rishi Kumar's|Kumar's|RISHI KUMAR|KUMAR|RISHI KUMAR'S|KUMAR'S
WMPID63,Jeff Gorman,Jeff Gorman is a Republican candidate for the 19th District of California.,Jeff Gorman|Gorman|Jeff Gorman's|Gorman's|JEFF GORMAN|GORMAN|JEFF GORMAN'S|GORMAN'S
WMPID67,Mike Garcia,Mike Garcia is a Republican candidate for the 27th District of California.,Mike Garcia|Garcia|Mike Garcia's|Garcia's|MIKE GARCIA|GARCIA|MIKE GARCIA'S|GARCIA'S
