id,name,descr,aliases
WMPID4797,Emma Jane Avila Pohlman,Emma Jane Avila Pohlman is a 3rd party Senate candidate in Hawaii.,Emma Jane Avila Pohlman|Pohlman|Emma Pohlman|Emma Jane Avila Pohlman's|Pohlman's|Emma Pohlman's|EMMA JANE AVILA POHLMAN|POHLMAN|EMMA POHLMAN|EMMA JANE AVILA POHLMAN'S|POHLMAN'S|EMMA POHLMAN'S
WMPID5260,Emmanuel Macron,Emmanuel Macron is an international leader.,Emmanuel Macron|Macron|Emmanuel Macron's|Macron's|EMMANUEL MACRON|MACRON|EMMANUEL MACRON'S|MACRON'S
WMPID2347,Eric Brewer,Eric Brewer is a Republican candidate for the 11th District of Ohio.,Eric Brewer|Brewer|Eric Brewer's|Brewer's|ERIC BREWER|BREWER|ERIC BREWER'S|BREWER'S
WMPID3346,Eric Burlison,Eric Burlison is a Republican candidate for the 7th District of Missouri.,Eric Burlison|Burlison|Eric Burlison's|Burlison's|ERIC BURLISON|BURLISON|ERIC BURLISON'S|BURLISON'S
WMPID3554,Eric Chase Johnson,Eric Chase Johnson is a 3rd party Senate candidate in Georgia.,Eric Chase Johnson|Johnson|Eric Johnson|Eric Chase Johnson's|Johnson's|Eric Johnson's|ERIC CHASE JOHNSON|JOHNSON|ERIC JOHNSON|ERIC CHASE JOHNSON'S|JOHNSON'S|ERIC JOHNSON'S
WMPID3357,Eric Ching,Eric Ching is a Republican candidate for the 38th District of California.,Eric Ching|Ching|Eric Ching's|Ching's|ERIC CHING|CHING|ERIC CHING'S|CHING'S
WMPID2533,Eric Joseph Carlson,Eric Joseph Carlson is a Republican candidate for the 1st District of Illinois.,Eric Joseph Carlson|Carlson|Eric Carlson|Eric Joseph Carlson's|Carlson's|Eric Carlson's|ERIC JOSEPH CARLSON|CARLSON|ERIC CARLSON|ERIC JOSEPH CARLSON'S|CARLSON'S|ERIC CARLSON'S
WMPID3278,Eric Lynn,Eric Lynn is a Democratic candidate for the 13rd District of Florida.,Eric Lynn|Lynn|Eric Lynn's|Lynn's|ERIC LYNN|LYNN|ERIC LYNN'S|LYNN'S
WMPID1675,Eric Mulder,Eric Mulder is a 3rd party candidate for the 6th District of Colorado.,Eric Mulder|Mulder|Eric Mulder's|Mulder's|ERIC MULDER|MULDER|ERIC MULDER'S|MULDER'S
WMPID1763,Eric Richard Reverend Meiring,Eric Richard Reverend Meiring is a 3rd party Senate candidate in Ohio.,Eric Richard Reverend Meiring|Meiring|Eric Meiring|Eric Richard Reverend Meiring's|Meiring's|Eric Meiring's|ERIC RICHARD REVEREND MEIRING|MEIRING|ERIC MEIRING|ERIC RICHARD REVEREND MEIRING'S|MEIRING'S|ERIC MEIRING'S
WMPID4545,Eric Schmitt,Eric Schmitt is a Republican Senate candidate in Missouri.,Eric Schmitt|Schmitt|Eric Schmitt's|Schmitt's|ERIC SCHMITT|SCHMITT|ERIC SCHMITT'S|SCHMITT'S
WMPID3606,Eric Sorensen,Eric Sorensen is a Democratic candidate for the 17th District of Illinois.,Eric Sorensen|Sorensen|Eric Sorensen's|Sorensen's|ERIC SORENSEN|SORENSEN|ERIC SORENSEN'S|SORENSEN'S
WMPID775,Eric Swalwell,Eric Swalwell is a Democratic candidate for the 14th District of California.,Eric Swalwell|Swalwell|Eric Swalwell's|Swalwell's|ERIC SWALWELL|SWALWELL|ERIC SWALWELL'S|SWALWELL'S
WMPID3921,Erick Javier Aguilar,Erick Javier Aguilar is a Republican candidate for the 4th District of Florida.,Erick Javier Aguilar|Aguilar|Erick Aguilar|Erick Javier Aguilar's|Aguilar's|Erick Aguilar's|ERICK JAVIER AGUILAR|AGUILAR|ERICK AGUILAR|ERICK JAVIER AGUILAR'S|AGUILAR'S|ERICK AGUILAR'S
WMPID1566,Erik Aadland,Erik Aadland is a Republican candidate for the 7th District of Colorado.,Erik Aadland|Aadland|Erik Aadland's|Aadland's|ERIK AADLAND|AADLAND|ERIK AADLAND'S|AADLAND'S
WMPID4173,Erik Gerhardt,Erik Gerhardt is a 3rd party Senate candidate in Pennsylvania.,Erik Gerhardt|Gerhardt|Erik Gerhardt's|Gerhardt's|ERIK GERHARDT|GERHARDT|ERIK GERHARDT'S|GERHARDT'S
WMPID4549,Erik Olsen,Erik Olsen is a Republican candidate for the 2nd District of Wisconsin.,Erik Olsen|Olsen|Erik Olsen's|Olsen's|ERIK OLSEN|OLSEN|ERIK OLSEN'S|OLSEN'S
WMPID3738,Erika Benfield,Erika Benfield is a Republican candidate for the 7th District of Florida.,Erika Benfield|Benfield|Erika Benfield's|Benfield's|ERIKA BENFIELD|BENFIELD|ERIKA BENFIELD'S|BENFIELD'S
WMPID3133,Erin Houchin,Erin Houchin is a Republican candidate for the 9th District of Indiana.,Erin Houchin|Houchin|Erin Houchin's|Houchin's|ERIN HOUCHIN|HOUCHIN|ERIN HOUCHIN'S|HOUCHIN'S
WMPID5274,Ervin Yen,Ervin Yen is a gubernatorial candidate.,Ervin Yen|Yen|Ervin Yen's|Yen's|ERVIN YEN|YEN|ERVIN YEN'S|YEN'S
WMPID813,Eshan Patel,Eshan Patel is a 3rd party candidate for the 1st District of North Carolina.,Eshan Patel|Patel|Eshan Patel's|Patel's|ESHAN PATEL|PATEL|ESHAN PATEL'S|PATEL'S
WMPID236,Esther Joy King,Esther Joy King is a Republican candidate for the 17th District of Illinois.,Esther Joy King|King|Esther King|Esther Joy King's|King's|Esther King's|ESTHER JOY KING|KING|ESTHER KING|ESTHER JOY KING'S|KING'S|ESTHER KING'S
