ad_id,combined_entities
x_1110929406223023,[]
x_1112243529690576,[]
x_1112536652695255,"['WMPID1240', 'WMPID4134']"
x_1112827692986677,[]
x_1112876659590088,[]
x_1113469355919358,['WMPID902']
x_1113665059270754,[]
x_1113736142621355,[]
x_1114190862598127,"['WMPID3217', 'WMPID3328']"
x_1114606239194317,['WMPID1289']
x_1114746736102192,['WMPID2240']
x_1114961196116673,['WMPID1302']
x_1115586876051211,['WMPID1629']
x_1115985802613106,[]
x_1116208362586886,['WMPID1305']
x_1117709772462764,[]
x_1118681149037954,"['WMPID1289', 'WMPID1193']"
x_1118871918736800,['WMPID3880']
x_1119089895373399,[]
x_1120068745527479,[]
x_1120407318586264,"['WMPID1290', 'WMPID1188', 'WMPID1053']"
x_1120990851962788,['WMPID3753']
x_1121061608509584,['WMPID5301']
x_1121721531883036,[]
x_1122038565048376,[]
x_1122241645374611,"['WMPID1370', 'WMPID2065', 'WMPID5239', 'WMPID4583', 'WMPID1289']"
x_1122472531684099,[]
x_1123087191665718,"['WMPID5344', 'WMPID5270']"
x_1123197584960089,['WMPID1514']
x_1123371664967326,[]
x_1123775331612023,"['WMPID5324', 'WMPID5289']"
x_1124168021798189,"['WMPID4', 'WMPID7']"
x_1124265468284448,[]
x_1124765738169468,"['WMPID988', 'WMPID1289', 'WMPID5206']"
x_1125009258120067,['WMPID1413']
x_1125377325076024,[]
x_1125724085040765,['WMPID209']
x_1125732054816197,[]
x_1126331548286630,"['WMPID3844', 'WMPID5248']"
x_1126793058227211,[]
x_1126995858028213,['WMPID5183']
x_1127383331508454,['WMPID1065']
x_1127553597842558,"['WMPID4511', 'WMPID5206']"
x_1128040441484207,"['WMPID1289', 'WMPID1471', 'WMPID1700', 'WMPID4671']"
x_1128493291116331,"['WMPID969', 'WMPID4511']"
x_1128654794732453,['WMPID70']
x_1130106840952777,[]
x_1130153294239834,[]
x_1130158410876193,[]
x_1130530787861881,['WMPID5313']
